Date,Open,High,Low,Close,Adj_Close,Volume,USD_Index,CPI,Yield_10Y,headline_count,avg_sentiment,std_sentiment
2015-04-28,1199.7,1214.0,1199.7,1214.0,1214.0,401,96.09,236.222,2.0,0,0.0,0.0
2015-04-29,1211.2,1212.6,1201.9,1209.8,1209.8,114,95.12,236.222,2.06,1,0.0,0.0
2015-04-30,1203.1,1205.9,1176.7,1182.4,1182.4,143,94.6,236.222,2.05,1,0.0,0.0
2015-05-01,1178.1,1178.1,1170.0,1174.5,1174.5,23,95.3,237.001,2.12,0,0.0,0.0
2015-05-04,1177.5,1189.4,1177.5,1186.8,1186.8,38,95.48,237.001,2.16,0,0.0,0.0
2015-05-05,1187.5,1198.7,1186.9,1193.2,1193.2,48,95.13,237.001,2.19,0,0.0,0.0
2015-05-06,1194.5,1194.6,1189.9,1190.3,1190.3,14,94.13,237.001,2.25,0,0.0,0.0
2015-05-07,1181.5,1186.0,1179.7,1182.4,1182.4,44,94.62,237.001,2.18,1,-0.2732,0.0
2015-05-08,1183.3,1189.1,1182.9,1189.1,1189.1,51,94.79,237.001,2.16,1,0.0,0.0
2015-05-11,1189.7,1190.5,1179.3,1183.2,1183.2,26,95.01,237.001,2.28,1,0.0,0.0
2015-05-12,1194.6,1194.8,1189.7,1192.6,1192.6,10,94.53,237.001,2.28,0,0.0,0.0
2015-05-13,1192.7,1218.4,1191.0,1218.4,1218.4,34,93.62,237.001,2.27,0,0.0,0.0
2015-05-14,1214.5,1225.6,1214.5,1225.4,1225.4,35,93.36,237.001,2.23,0,0.0,0.0
2015-05-15,1218.5,1225.5,1214.8,1225.5,1225.5,12,93.14,237.001,2.14,1,0.0,0.0
2015-05-18,1224.5,1228.1,1222.6,1227.8,1227.8,8,94.19,237.001,2.23,0,0.0,0.0
2015-05-19,1223.9,1223.9,1206.0,1206.9,1206.9,9,95.27,237.001,2.27,0,0.0,0.0
2015-05-20,1205.1,1210.8,1205.1,1208.9,1208.9,11,95.45,237.001,2.26,0,0.0,0.0
2015-05-21,1204.5,1204.5,1203.7,1204.4,1204.4,43,95.26,237.001,2.19,1,-0.1406,0.0
2015-05-22,1211.6,1211.9,1204.3,1204.3,1204.3,8,96.01,237.001,2.21,0,0.0,0.0
2015-05-26,1193.6,1193.6,1186.0,1187.2,1187.2,40,97.3,237.001,2.14,1,0.0,0.0
2015-05-27,1185.9,1185.9,1185.9,1185.9,1185.9,"200,216",97.37,237.001,2.14,0,0.0,0.0
2015-05-28,1187.1,1192.0,1179.6,1188.1,1188.1,"52,705",96.97,237.001,2.13,1,0.0,0.0
2015-05-29,1187.8,1193.3,1185.7,1189.4,1189.4,"4,748",96.91,237.001,2.12,1,0.5106,0.0
2015-06-01,1190.6,1204.0,1184.3,1188.3,1188.3,"1,236",97.39,237.657,2.19,2,0.0542999999999999,0.4631549416771886
2015-06-02,1189.0,1194.3,1186.0,1194.1,1194.1,"1,003",95.84,237.657,2.27,2,-0.148,0.209303607231218
2015-06-03,1193.9,1193.9,1179.1,1184.7,1184.7,630,95.47,237.657,2.38,0,0.0,0.0
2015-06-04,1184.9,1185.3,1173.0,1174.9,1174.9,447,95.46,237.657,2.31,2,-0.11205,0.6084653852110241
